region,year_to,gdp_pc_region,co2_pc_region,population_region,log_gdp_region,log_co2_region,year_from,d_log_gdp,d_log_co2,year_gap,gdp_change_pct,co2_change_pct,decoupling_classification,gdp_expansion,region_display
Europe_NorthAmerica,1995,24998.135602904706,12.124162827565216,1013682295.0,10.126556525185606,2.4952003892905603,1994,0.020445621758570454,0.0001892916151109425,1.0,2.0656065252196987,0.018930953189921773,Relative decoupling,True,Europe & North America
Europe_NorthAmerica,1996,25549.41272284911,12.25883181925754,1017463049.0,10.148369609960602,2.5062466420577874,1995,0.021813084774995772,0.011046252767227038,1.0,2.205272939956182,1.1107487882474398,Relative decoupling,True,Europe & North America
Europe_NorthAmerica,1997,26389.698606408147,12.276839268050503,1021228390.0,10.180729008682176,2.507714500993631,1996,0.03235939872157445,0.0014678589358436689,1.0,3.28886574683398,0.14689367680755794,Relative decoupling,True,Europe & North America
Europe_NorthAmerica,1998,27213.00810242274,12.272069910743532,1024831784.0,10.211450377023896,2.5073259413772147,1997,0.030721368341719568,-0.00038855961641637293,1.0,3.1198139406362513,-0.03884841369050651,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,1999,28184.33394000916,12.234235154220087,1028355017.0,10.246521568517768,2.50423818200397,1998,0.03507119149387172,-0.0030877593732445696,1.0,3.5693438738216843,-0.3082997147068167,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,2000,29290.79625988184,12.413946158691456,1031486929.0,10.285028624835734,2.5188205308378198,1999,0.03850705631796636,0.014582348833849679,1.0,3.9258061667443167,1.4689189982536766,Relative decoupling,True,Europe & North America
Europe_NorthAmerica,2001,29708.23770717796,12.386128345278992,1034370123.0,10.299179650210588,2.516577164587081,2000,0.014151025374854243,-0.002243366250738621,1.0,1.4251625104090282,-0.22408517853115262,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,2002,30087.010317401313,12.18738364019242,1037528035.0,10.31184880667517,2.500401288806997,2001,0.012669156464582443,-0.01617587578008406,1.0,1.2749750219340328,-1.6045748885068045,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,2003,30634.49545363722,12.432968494479953,1041127966.0,10.329881955418685,2.5203516939436175,2002,0.01803314874351436,0.019950405136620386,1.0,1.8196727772558763,2.015074453532617,Coupled expansion,True,Europe & North America
Europe_NorthAmerica,2004,31538.222946967613,12.446186641296308,1045175424.0,10.35895551609419,2.5214142821213854,2003,0.029073560675504595,0.0010625881777679425,1.0,2.9500322428946957,0.10631529245990201,Relative decoupling,True,Europe & North America
Europe_NorthAmerica,2005,32342.159779744474,12.395625873295227,1049197042.0,10.384126914443058,2.517343658225704,2004,0.025171398348868834,-0.004070623895681358,1.0,2.5490872904560646,-0.40623501364924763,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,2006,33251.076013736274,12.299091012053928,1053494058.0,10.411842406875762,2.5095253581884944,2005,0.027715492432703215,-0.007818300037209625,1.0,2.8103139684600764,-0.7787816624029165,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,2007,34023.02881935831,12.310135588440804,1058199498.0,10.434792892538258,2.5104229546313004,2006,0.02295048566249669,0.0008975964428059591,1.0,2.3215874436757433,0.08979994030491323,Relative decoupling,True,Europe & North America
Europe_NorthAmerica,2008,34059.98258209862,11.943490437586185,1063145164.0,10.435878442827782,2.480186396700071,2007,0.001085550289523951,-0.03023655793122959,1.0,0.10861397125030425,-2.978400588852148,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,2009,32696.22074452176,11.008879694871892,1067671146.0,10.39501477664418,2.3987021921397282,2008,-0.040863666183602376,-0.08148420456034255,1.0,-4.004000396329177,-7.82527308577291,"Economic contraction, emissions falling",False,Europe & North America
Europe_NorthAmerica,2010,33402.066042372935,11.444895806726658,1071762374.0,10.416373034607767,2.4375438495384203,2009,0.02135825796358759,0.03884165739869205,1.0,2.158797811424229,3.960585672108552,Coupled expansion,True,Europe & North America
Europe_NorthAmerica,2011,33927.85029602049,11.194132662563815,1074438017.0,10.43199149874256,2.41538977161958,2010,0.015618464134792731,-0.022154077918840276,1.0,1.5741069818272946,-2.191047855721473,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,2012,34178.04525350875,10.877025811575107,1078694535.0,10.439338765259718,2.3866528411506467,2011,0.007347266517157891,-0.02873693046893333,1.0,0.737432390514936,-2.832795184295067,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,2013,34494.577900372984,10.82307089826238,1082618705.0,10.448557428360132,2.381680049994906,2012,0.009218663100414304,-0.004972791155740897,1.0,0.9261285849335055,-0.4960447299417692,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,2014,35087.75886990661,10.57625873064048,1086826050.0,10.465607598481371,2.358611746751137,2013,0.017050170121239105,-0.02306830324376863,1.0,1.7196353909499251,-2.280426414480241,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,2015,35760.93477703526,10.43035241347416,1091256062.0,10.484611369243206,2.344720056886175,2014,0.01900377076183446,-0.013891689864962142,1.0,1.9185491715916658,-1.3795645594752437,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,2016,36250.72526539805,10.258898540741528,1095833832.0,10.498214667404003,2.3281454792761402,2015,0.013603298160797195,-0.01657457761003478,1.0,1.3696243999676394,-1.6437975049734765,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,2017,37069.621391318426,10.197127281468129,1099601985.0,10.520553082748096,2.3221060415507417,2016,0.022338415344092866,-0.0060394377253985,1.0,2.2589785995317024,-0.6021236980567335,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,2018,37872.76337938026,10.334783943238795,1103207688.0,10.54198748837836,2.3355152875682155,2017,0.021434405630264664,0.01340924601747373,1.0,2.166577261697844,1.349955315560658,Relative decoupling,True,Europe & North America
Europe_NorthAmerica,2019,38587.38610038245,10.039232723649995,1106126365.0,10.560680717082896,2.306500689396066,2018,0.01869322870453516,-0.029014598172149686,1.0,1.8869040894737177,-2.8597716334665346,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,2020,36973.14250757605,9.158075979197358,1107402933.0,10.517947049875621,2.214636110684148,2019,-0.04273366720727445,-0.09186457871191767,1.0,-4.183345274041361,-8.777132363680007,"Economic contraction, emissions falling",False,Europe & North America
