iso3c,country,region,region_display,n_total_changes,n_gdp_expansions,n_absolute_decoupling,n_relative_decoupling,n_coupled_expansion,n_any_decoupling,share_gdp_expansion_of_all_changes,share_absolute_of_expansions,share_relative_of_expansions,share_coupled_of_expansions,share_any_decoupling_of_expansions,mean_gdp_change_pct_during_expansions,median_gdp_change_pct_during_expansions,mean_co2_change_pct_during_expansions,median_co2_change_pct_during_expansions,population_weighted_share_absolute,population_weighted_share_relative,population_weighted_share_coupled,population_weighted_share_any_decoupling,dominant_expansion_classification
MHL,Marshall Islands,Global_South,Global South,34,23,11,9,3,20,0.6764705882352942,0.4782608695652174,0.391304347826087,0.13043478260869565,0.8695652173913043,4.479113949115898,4.504074581428785,0.8718893949961659,0.021146119687887044,0.4980729684457095,0.3799797536849655,0.12194727786932502,0.878052722130675,Absolute decoupling
MKD,North Macedonia,Europe_NorthAmerica,Europe & North America,34,26,14,3,9,17,0.7647058823529411,0.5384615384615384,0.11538461538461539,0.34615384615384615,0.6538461538461539,3.5674597660579415,3.3546754071988594,0.6011326410972286,-1.7889200957710516,0.5381108004345159,0.11451920946585267,0.3473699900996315,0.6526300099003686,Absolute decoupling
MLI,Mali,Global_South,Global South,34,23,7,5,11,12,0.6764705882352942,0.30434782608695654,0.21739130434782608,0.4782608695652174,0.5217391304347826,3.0575431312173533,2.0745835861223583,6.432710205065667,2.5948364105767174,0.29166973579784244,0.21086685885114767,0.49746340535100986,0.5025365946489901,Coupled expansion
MLT,Malta,Europe_NorthAmerica,Europe & North America,34,28,18,5,5,23,0.8235294117647058,0.6428571428571429,0.17857142857142858,0.17857142857142858,0.8214285714285714,4.940629502457727,3.9390643830725547,-2.3136327719162524,-2.1289624412806516,0.6552313931462602,0.17178792867875153,0.1729806781749883,0.8270193218250117,Absolute decoupling
MMR,Myanmar,Global_South,Global South,34,30,10,7,13,17,0.8823529411764706,0.3333333333333333,0.23333333333333334,0.43333333333333335,0.5666666666666667,7.629100881855637,6.854467130744579,6.9779817691438035,5.165390051427943,0.34106046515803445,0.22519292714583525,0.4337466076961303,0.5662533923038697,Coupled expansion
MNG,Mongolia,Global_South,Global South,34,26,12,6,8,18,0.7647058823529411,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.6923076923076923,5.125099768334433,4.598396459940446,1.4375501432333155,0.8735357239014307,0.4301407675688777,0.2411120562039368,0.32874717622718547,0.6712528237728145,Absolute decoupling
MNP,Northern Mariana Islands,Global_South,Global South,20,10,0,10,0,10,0.5,0.0,1.0,0.0,1.0,10.270734388316495,5.02580121606414,1.4573699554500097,1.374203545568442,0.0,1.0,0.0,1.0,Relative decoupling
MOZ,Mozambique,Global_South,Global South,34,25,8,4,13,12,0.7352941176470589,0.32,0.16,0.52,0.48,5.075846747286553,4.62514159794325,5.168402259831619,5.735897463442119,0.30844668385680307,0.14494639950909738,0.5466069166340995,0.45339308336590045,Coupled expansion
MRT,Mauritania,Global_South,Global South,34,20,7,6,7,13,0.5882352941176471,0.35,0.3,0.35,0.65,3.177018332681268,2.2781933060405657,4.027525076884599,1.1248807100291747,0.3443665283094162,0.2676863808033185,0.38794709088726526,0.6120529091127347,Tie
MUS,Mauritius,Global_South,Global South,34,33,5,16,12,21,0.9705882352941176,0.15151515151515152,0.48484848484848486,0.36363636363636365,0.6363636363636364,3.9860566435656324,3.8436280008349533,3.995807965180965,2.782554383090541,0.1547098117934633,0.4870414002188438,0.3582487879876929,0.6417512120123071,Relative decoupling
