region,region_display,year_to,n_total_changes,n_gdp_expansions,n_absolute_decoupling,n_relative_decoupling,n_coupled_expansion,n_any_decoupling,share_gdp_expansion_of_all_changes,share_absolute_of_expansions,share_relative_of_expansions,share_coupled_of_expansions,share_any_decoupling_of_expansions,mean_gdp_change_pct_during_expansions,median_gdp_change_pct_during_expansions,mean_co2_change_pct_during_expansions,median_co2_change_pct_during_expansions,population_weighted_share_absolute,population_weighted_share_relative,population_weighted_share_coupled,population_weighted_share_any_decoupling
Europe_NorthAmerica,Europe & North America,2012,43,23,15,3,5,18,0.5348837209302325,0.6521739130434783,0.13043478260869565,0.21739130434782608,0.782608695652174,2.2848988947963376,1.4757059689729957,-2.5305301937032474,-2.205503487597593,0.7927743126104708,0.004240096562596064,0.20298559082693307,0.7970144091730669
Europe_NorthAmerica,Europe & North America,2013,43,29,17,5,7,22,0.6744186046511628,0.5862068965517241,0.1724137931034483,0.2413793103448276,0.7586206896551724,2.1137666510744415,1.3481625273180198,-2.17800069983695,-1.8414729706680788,0.4754580053111741,0.054237062036258665,0.47030493265256723,0.5296950673474328
Europe_NorthAmerica,Europe & North America,2014,43,36,32,1,3,33,0.8372093023255814,0.8888888888888888,0.027777777777777776,0.08333333333333333,0.9166666666666666,2.6622930671867255,2.1602962863103925,-3.195895909218875,-3.1661440205124736,0.9723803346112073,0.01202868976175534,0.01559097562703738,0.9844090243729626
Europe_NorthAmerica,Europe & North America,2015,43,36,14,9,13,23,0.8372093023255814,0.3888888888888889,0.25,0.3611111111111111,0.6388888888888888,3.20904504830948,2.5046707797510726,-0.46156911765060676,1.1262422503603875,0.6030189834428297,0.1058166077203606,0.2911644088368097,0.7088355911631903
Europe_NorthAmerica,Europe & North America,2016,43,38,22,10,6,32,0.8837209302325582,0.5789473684210527,0.2631578947368421,0.15789473684210525,0.8421052631578947,2.6227653534539113,2.5619228706530772,-0.8640900442973463,-0.8953104269270651,0.7449049869262159,0.18814393353874506,0.06695107953503907,0.9330489204649609
Europe_NorthAmerica,Europe & North America,2017,43,42,16,14,12,30,0.9767441860465116,0.38095238095238093,0.3333333333333333,0.2857142857142857,0.7142857142857143,3.3996746313127915,2.6806938537542457,1.3041843513166058,0.7219446564198151,0.5903237557491242,0.29060374025834407,0.1190725039925317,0.8809274960074683
Europe_NorthAmerica,Europe & North America,2018,43,41,23,7,11,30,0.9534883720930233,0.5609756097560976,0.17073170731707318,0.2682926829268293,0.7317073170731707,3.031219504039024,2.7165875511459214,-0.31312839015628446,-1.2693041156958018,0.429760050045797,0.04686507838417269,0.5233748715700303,0.4766251284299697
Europe_NorthAmerica,Europe & North America,2019,43,40,32,5,3,37,0.9302325581395349,0.8,0.125,0.075,0.925,2.5936348540568384,2.263505179372405,-3.2572334133867273,-2.7631908759500776,0.8410916100042963,0.1491244928614015,0.00978389713430214,0.9902161028656978
Europe_NorthAmerica,Europe & North America,2020,43,2,2,0,0,2,0.046511627906976744,1.0,0.0,0.0,1.0,2.9382328412569936,2.9382328412569936,-3.5812639401733515,-3.5812639401733515,1.0,0.0,0.0,1.0
Europe_NorthAmerica,Europe & North America,2021,43,43,5,22,16,27,1.0,0.11627906976744186,0.5116279069767442,0.37209302325581395,0.627906976744186,6.858554462486322,6.039665773537983,4.965605767852705,4.024465246205189,0.05503184356006837,0.19036005002339798,0.7546081064165336,0.24539189358346636
Europe_NorthAmerica,Europe & North America,2022,43,35,23,9,3,32,0.813953488372093,0.6571428571428571,0.2571428571428571,0.08571428571428572,0.9142857142857143,3.7984033293325274,4.010978809619403,-2.361469032682077,-3.336191963543167,0.42984096776206127,0.5608459906542821,0.009313041583656626,0.9906869584163434
Europe_NorthAmerica,Europe & North America,2023,43,26,21,4,1,25,0.6046511627906976,0.8076923076923077,0.15384615384615385,0.038461538461538464,0.9615384615384616,3.175721992471985,2.2069929283736633,-4.056952126956885,-5.051928284922747,0.7690820037915604,0.22622555203815767,0.004692444170281894,0.9953075558297181
Europe_NorthAmerica,Europe & North America,2024,42,34,23,8,3,31,0.8095238095238095,0.6764705882352942,0.23529411764705882,0.08823529411764706,0.9117647058823529,2.1829246039230914,2.0674091095490787,-1.3687383311063852,-0.981901556050957,0.7787329057599401,0.19729192900495132,0.023975165235108536,0.9760248347648914
Global_South,Global South,1991,135,72,27,14,31,41,0.5333333333333333,0.375,0.19444444444444445,0.4305555555555556,0.5694444444444444,4.8262323144107535,3.200486460960106,6.025625562449634,2.294798097394035,0.3070914730501782,0.26257567583952074,0.43033285111030106,0.5696671488896989
Global_South,Global South,1992,135,71,21,21,29,42,0.5259259259259259,0.29577464788732394,0.29577464788732394,0.4084507042253521,0.5915492957746479,6.492047125068065,5.1520555547657665,2.7505346859276574,3.8231261008172535,0.13023274580108324,0.397253791812493,0.4725134623864238,0.5274865376135762
Global_South,Global South,1993,136,77,34,16,27,50,0.5661764705882353,0.44155844155844154,0.2077922077922078,0.35064935064935066,0.6493506493506493,4.667081251197844,3.6541167384018802,4.042060124854217,0.6492607104920056,0.1873530988218689,0.2431537568154581,0.5694931443626731,0.430506855637327
