Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Tanzania,TZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,541.544799804688,538.966979980469,528.781555175781,518.66259765625,506.972503662109,508.840423583984,522.333251953125,529.954223632813,535.363159179688,546.605529785156,555.348083496094,573.400146484375,598.421569824219,621.720703125,650.516540527344,680.051208496094,704.502746582031,731.52001953125,752.540466308594,772.929565429688,801.29931640625,838.999267578125,851.910705566406,882.8115234375,913.811218261719,939.127319335938,970.156127929688,1001.55895996094,1024.01525878906,1051.7666015625,1041.25964355469,1054.31726074219,1070.58532714844,1092.86413574219,1120.77416992188
Tanzania,TZA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.0798040398530735,0.0825042579590564,0.0745404148390602,0.0758346577162523,0.072320978660811,0.0967828028485332,0.113366088707074,0.10378715444117,0.087932132235763,0.0800232310010141,0.090834424226942,0.093385194551589,0.103523394393514,0.106641883408954,0.142837770195217,0.157543974954262,0.163876810024256,0.150653381572792,0.147505111963319,0.139276768276615,0.163841548892358,0.193059357083924,0.223794524706032,0.23745636583617,0.223568261465515,0.253809224058563,0.262646711236488,0.255108045601944,0.259781366222155,0.287346536895184,0.273515412561516,0.30147502454703,0.323161976851185,0.323839316591473,0.311205530057348
Tanzania,TZA,"Population, total",SP.POP.TOTL,26110207,26780436,27457588,28332692,29442356,30383497,30945762,31578089,32420458,33300330,34260139,35198299,36121304,37089555,38109668,39182076,40294902,41435512,42570728,43633982,44758488,46029367,47374260,48824128,50351512,52020962,53824013,55652890,57437145,59174891,60972798,62830412,64711821,66617606,68560157
Thailand,THA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2631.51971095863,2810.56702001316,2989.85385369019,3186.99707103229,3391.48986604062,3614.93244016732,3766.86364433088,3614.60848543994,3295.36018381294,3403.08737356896,3514.71662970608,3599.02524877358,3783.75422073266,4018.15538187068,4232.77157261934,4372.25730206261,4551.5250018314,4760.66708464831,4805.76393990836,4737.45679763314,5059.35747831657,5070.23740191942,5403.87846036273,5516.61164164135,5541.46599361845,5688.85335397884,5857.78052935926,6076.74307700082,6314.19948412043,6434.53770518034,6035.18627737077,6121.52696529713,6278.7855138276,6408.41432577294,6574.46109387985
Thailand,THA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.74257054869176,1.86934214112031,2.01711572540131,2.25478946404135,2.4787604383554,2.76739243231507,3.0689653468995,3.08630521042351,2.71491319535592,2.80177979620008,2.77493831519154,2.88330259468562,3.03535576431598,3.12835266531198,3.37869799549585,3.47218658348054,3.49792985897197,3.54477665878806,3.53401361701146,3.40595891903064,3.59232409675161,3.57565835731247,3.81363739650232,3.95099362283237,3.88118627669814,3.99014074054595,3.91990436444812,3.94997556709625,3.87600024932723,4.00533143026177,3.84739936431244,3.74441224162639,3.963374866518,3.83577489383729,3.96005269352319
Thailand,THA,"Population, total",SP.POP.TOTL,54738329,55637434,56528834,57408198,58260854,59098232,59920064,60724584,61522630,62299043,63007815,63651141,64266437,64868166,65452047,66017420,66567687,67102394,67619830,68121080,68579447,69007208,69436098,69845114,70216367,70540795,70859841,71160187,71376079,71522271,71641484,71727332,71735329,71702435,71668011
Timor-Leste,TLS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,633.18248660316,684.870525977346,736.591643587695,789.900692594751,823.062419740079,854.130467489101,897.360525869862,907.916560400077,865.831372670687,631.07290867098,1117.56432347244,1192.74796357529,1028.13194386616,964.322543048225,955.470489028291,964.026656178075,897.573801807644,961.848415522858,1042.86833768293,1120.09693594876,1195.38066079604,1237.48380284894,1269.41625561248,1281.92864043187,1312.96494988639,1319.59295003154,1333.65856117568,1267.08661597675,1237.2006590123,1507.24743550088,1947.83992943521,2015.82035757039,1579.71085276403,1279.21122757564,1149.21888298011
Timor-Leste,TLS,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.0916689134537611,0.0928973965600981,0.0992095761636795,0.126242182906297,0.126111169660376,0.111501982385451,0.134262486523319,0.134433221687251,0.201054608341379,0.363964408641699,0.469206321937811,0.326993323475929,0.283452708781915,0.287824552448635,0.555176444502806,0.368655430549683,0.349069268080897,0.311775728463542,0.301134509007399,0.31847915812698,0.308293974530714,0.333991769102519,0.554064949312045,0.654615753067028,0.629577892602016,0.57686674726648,0.538055477761351,0.496763209802964,0.522430579665961,0.559823820376726,0.512347545686334,0.526390245745068,0.50726833881669,0.47995862126757,0.499343870436187
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,760345,778278,799318,821437,844493,868146,892282,917184,942530,834697,745088,812249,879159,916878,929074,948311,976597,1004889,1032429,1058782,1084679,1110207,1134885,1158695,1181903,1205131,1228312,1251703,1275959,1300945,1326053,1350139,1369295,1384286,1400638
Togo,TGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,703.623952029279,678.86984140241,633.669030222095,541.357064850428,620.182624671753,640.349913996042,671.50427472391,744.126640948867,706.689579910124,704.043845128067,679.533421599502,667.298334712527,675.440797960321,702.799255960869,678.28759996017,630.248678309054,629.079905835563,603.83784338967,610.405413708475,625.711511370434,644.5632812645,663.96334052788,687.495464571464,709.09186114976,730.291049611232,751.051987587248,763.276185353302,774.274897347436,791.592405216309,810.512262603518,808.300697079208,829.786700130989,861.508010803054,893.753030300995,931.029965529857
