iso3c,country,region,n_years_in_source,n_valid_regression_observations,enters_main_regression,regression_sample_status
UKR,Ukraine,Europe_NorthAmerica,35,35,True,Included
URY,Uruguay,Global_South,35,35,True,Included
USA,United States,Europe_NorthAmerica,35,35,True,Included
UZB,Uzbekistan,Global_South,35,35,True,Included
VCT,St. Vincent and the Grenadines,Global_South,35,35,True,Included
VEN,"Venezuela, RB",Global_South,35,35,True,Included
VGB,British Virgin Islands,Global_South,35,0,False,No usable positive GDP-CO2 economy-year observations
VIR,Virgin Islands (U.S.),Global_South,35,21,True,Included
VNM,Viet Nam,Global_South,35,35,True,Included
VUT,Vanuatu,Global_South,35,35,True,Included
WSM,Samoa,Global_South,35,35,True,Included
XKX,Kosovo,Europe_NorthAmerica,35,0,False,No usable positive GDP-CO2 economy-year observations
YEM,"Yemen, Rep.",Global_South,35,29,True,Included
ZAF,South Africa,Global_South,35,35,True,Included
ZMB,Zambia,Global_South,35,35,True,Included
ZWE,Zimbabwe,Global_South,35,35,True,Included
