iso3c,country,region,first_year,last_year,n_years,within_log_gdp_sd,within_log_co2_sd,missing_years,coverage_pct,is_balanced_1990_2024
MOZ,Mozambique,Global_South,1990,2024,35,0.402615355180395,0.5277301951821097,,100.0,True
MRT,Mauritania,Global_South,1990,2024,35,0.0759948472378757,0.33434970675707915,,100.0,True
MUS,Mauritius,Global_South,1990,2024,35,0.3428426154524143,0.36518348033083703,,100.0,True
MWI,Malawi,Global_South,1990,2024,35,0.17275059078773417,0.1935577920434427,,100.0,True
MYS,Malaysia,Global_South,1990,2024,35,0.28614241255642875,0.24543033606907333,,100.0,True
NAM,Namibia,Global_South,1990,2024,35,0.17064967355572402,0.16122766215336146,,100.0,True
NER,Niger,Global_South,1990,2024,35,0.11479454462812043,0.28115188935882324,,100.0,True
NGA,Nigeria,Global_South,1990,2024,35,0.2256686534170711,0.16391013859153059,,100.0,True
NIC,Nicaragua,Global_South,1990,2024,35,0.21417829779601597,0.1905359795009822,,100.0,True
NLD,Netherlands,Europe_NorthAmerica,1990,2024,35,0.1501095651725793,0.14993090669997244,,100.0,True
NOR,Norway,Europe_NorthAmerica,1990,2024,35,0.13282645087299863,0.08342062190596931,,100.0,True
NPL,Nepal,Global_South,1990,2024,35,0.3199412686075611,0.7236089065510134,,100.0,True
NZL,New Zealand,DevelopedAsia_Oceania,1990,2024,35,0.16425047699862086,0.10065207424363469,,100.0,True
OMN,Oman,Global_South,1990,2024,35,0.07653215502342474,0.27717264948076914,,100.0,True
PAK,Pakistan,Global_South,1990,2024,35,0.17577097436741015,0.14020633179578038,,100.0,True
PAN,Panama,Global_South,1990,2024,35,0.4113413092946445,0.2631179267182696,,100.0,True
PER,Peru,Global_South,1990,2024,35,0.3337081538918258,0.26750038682461236,,100.0,True
PHL,Philippines,Global_South,1990,2024,35,0.28834844228487416,0.2115851491574388,,100.0,True
PLW,Palau,Global_South,1990,2023,34,0.08283166105425135,0.31445451719699336,2024,97.14285714285714,False
PNG,Papua New Guinea,Global_South,1990,2024,35,0.12058054342349857,0.14360558337589638,,100.0,True
POL,Poland,Europe_NorthAmerica,1990,2024,35,0.4100105280841614,0.06605490057711116,,100.0,True
PRI,Puerto Rico (US),Global_South,1990,2024,35,0.1482662765758327,0.2708937824114699,,100.0,True
PRT,Portugal,Europe_NorthAmerica,1990,2024,35,0.11644231701306418,0.17313948405586435,,100.0,True
PRY,Paraguay,Global_South,1990,2024,35,0.1803915278560333,0.25122138253982096,,100.0,True
PYF,French Polynesia,Global_South,1990,2024,35,0.08360758403148615,0.13224526671245848,,100.0,True
QAT,Qatar,Global_South,1990,2024,35,0.2233037381551748,0.10198141059346917,,100.0,True
ROU,Romania,Europe_NorthAmerica,1990,2024,35,0.3756924858493404,0.1807759692351531,,100.0,True
RUS,Russian Federation,Europe_NorthAmerica,1990,2024,35,0.2825680225111883,0.0932959120756544,,100.0,True
RWA,Rwanda,Global_South,1990,2024,35,0.44339004828536405,0.2781025635734544,,100.0,True
SAU,Saudi Arabia,Global_South,1990,2024,35,0.07816867137595736,0.08790844624219428,,100.0,True
SDN,Sudan,Global_South,1990,2024,35,0.22042248937497882,0.4192048391728999,,100.0,True
SEN,Senegal,Global_South,1990,2024,35,0.13802156476863603,0.31101031864389367,,100.0,True
SGP,Singapore,DevelopedAsia_Oceania,1990,2024,35,0.32667935168195394,0.0803824955429403,,100.0,True
SLB,Solomon Islands,Global_South,1990,2024,35,0.10614082592997624,0.18448948929932926,,100.0,True
SLE,Sierra Leone,Global_South,1990,2024,35,0.15484772520089124,0.17926463411517124,,100.0,True
SLV,El Salvador,Global_South,1990,2024,35,0.18420106767222413,0.24222819137236284,,100.0,True
SOM,"Somalia, Fed. Rep.",Global_South,1990,2024,35,0.3009148178920703,0.16630627486724092,,100.0,True
STP,Sao Tome and Principe,Global_South,1990,2024,35,0.15945703019062318,0.2812674721601793,,100.0,True
SUR,Suriname,Global_South,1990,2024,35,0.1443334759127431,0.2191899976403903,,100.0,True
SVK,Slovak Republic,Europe_NorthAmerica,1990,2024,35,0.3478391625548169,0.15883730859308393,,100.0,True
SVN,Slovenia,Europe_NorthAmerica,1990,2024,35,0.2370156063766223,0.11553713071996698,,100.0,True
SWE,Sweden,Europe_NorthAmerica,1990,2024,35,0.16550072443502112,0.2536224902286076,,100.0,True
SWZ,Eswatini,Global_South,1990,2024,35,0.23360700440588306,0.1744727657323432,,100.0,True
SYC,Seychelles,Global_South,1990,2024,35,0.22748876137532512,0.376152976814539,,100.0,True
SYR,Syrian Arab Republic,Global_South,1990,2022,33,0.24887927722005423,0.29382256839483817,"2023,2024",94.28571428571428,False
TCA,Turks and Caicos Islands,Global_South,2007,2024,18,0.27764461232642185,0.421058201663822,"1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006",51.42857142857142,False
TCD,Chad,Global_South,1990,2024,35,0.2343270636730996,0.7361791289592713,,100.0,True
TGO,Togo,Global_South,1990,2024,35,0.12007263663523765,0.2802984615334933,,100.0,True
THA,Thailand,Global_South,1990,2024,35,0.27175746475050255,0.226528834088117,,100.0,True
TJK,Tajikistan,Global_South,1990,2024,35,0.41997436283287054,0.4628093454415748,,100.0,True
TKM,Turkmenistan,Global_South,1990,2024,35,0.4882990694153703,0.1857330157729736,,100.0,True
TLS,Timor-Leste,Global_South,1990,2024,35,0.2790264222840884,0.6233570860241691,,100.0,True
TON,Tonga,Global_South,1990,2023,34,0.11610632440156717,0.18969943932440925,2024,97.14285714285714,False
TTO,Trinidad and Tobago,Global_South,1990,2024,35,0.40216281125975784,0.3926105954135006,,100.0,True
TUN,Tunisia,Global_South,1990,2024,35,0.22765784151622356,0.13040255653026525,,100.0,True
TUR,Turkiye,Global_South,1990,2024,35,0.34763117295025386,0.23842540008009777,,100.0,True
TZA,Tanzania,Global_South,1990,2024,35,0.28007419342428946,0.5094094138344704,,100.0,True
UGA,Uganda,Global_South,1990,2024,35,0.3213441873535857,0.505982850592474,,100.0,True
UKR,Ukraine,Europe_NorthAmerica,1990,2024,35,0.2318793357661692,0.38253373370216254,,100.0,True
URY,Uruguay,Global_South,1990,2024,35,0.26295960350069075,0.2034922435417768,,100.0,True
USA,United States,Europe_NorthAmerica,1990,2024,35,0.155374088338187,0.1443829665494395,,100.0,True
UZB,Uzbekistan,Global_South,1990,2024,35,0.4134711001368101,0.16641299929257902,,100.0,True
VCT,St. Vincent and the Grenadines,Global_South,1990,2024,35,0.26680204801437024,0.48176792994613366,,100.0,True
VEN,"Venezuela, RB",Global_South,1990,2024,35,0.41120735717778645,0.23305280013511265,,100.0,True
VIR,Virgin Islands (U.S.),Global_South,2002,2022,21,0.14135034851516182,0.008799225529304585,"1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2023,2024",60.0,False
VNM,Viet Nam,Global_South,1990,2024,35,0.526576032016323,0.7987268363326281,,100.0,True
VUT,Vanuatu,Global_South,1990,2024,35,0.04485648109157045,0.363363131216223,,100.0,True
WSM,Samoa,Global_South,1990,2024,35,0.21678896877704337,0.29723241511293114,,100.0,True
YEM,"Yemen, Rep.",Global_South,1990,2018,29,0.21027253728806677,0.3469090577677908,"2019,2020,2021,2022,2023,2024",82.85714285714286,False
ZAF,South Africa,Global_South,1990,2024,35,0.13911067378634032,0.0930213747298379,,100.0,True
ZMB,Zambia,Global_South,1990,2024,35,0.21342778955181632,0.37397033908900223,,100.0,True
ZWE,Zimbabwe,Global_South,1990,2024,35,0.2001348616650554,0.33207477162720417,,100.0,True
