Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Cuba,CUB,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,30.9464042,..,36.1246015,..,41.9900107,..,35.6887035,35.5911781,40.0540804,33.8608334,42.2879533,42.3173838,42.9716245,43.0517806,39.7525017,39.7425542,42.1090936,42.1116116,51.3083356,51.2895644,50.658147,50.0984373,47.2258128,49.2365733,49.2032171,49.4420441,51.7255071,51.3036807,46.0999593,..
Cuba,CUB,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,33.8754423,..,33.8113109,..,35.1807828,..,32.9212997,30.8521051,28.7857698,31.9527515,31.7702888,31.7935185,32.4088374,31.9487629,29.2472574,29.2513942,33.0608232,33.6209578,37.5553342,39.3302814,36.872509,36.8821564,35.5424136,35.5531681,35.534856,36.3616506,36.4527605,35.4489206,32.1969231,..
Cuba,CUB,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,38.2158848,..,39.677163,..,37.7643155,..,35.9919349,35.9596735,37.4245814,36.0291204,41.9420193,43.5598564,42.232073,42.2355031,40.5670992,41.299807,41.8255063,41.8674883,42.414028,41.8095382,42.3881207,41.9221616,42.6291721,43.9178235,47.0690861,45.8007158,48.3973496,47.2236141,46.2326046,..
Curacao,CUW,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,74.2571364,..,76.8053821,..,76.8336421,..,81.4575603,75.5053666,74.5812721,76.6016827,74.767013,75.3228709,78.3482398,77.0922184,80.0872935,80.4883167,80.215801,79.967882,73.0995288,72.2822422,71.7249844,73.013106,68.0766854,70.7350252,70.8350822,68.0623357,69.8303144,69.4521321,68.2497236,..
Cyprus,CYP,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,69.0922801,..,69.4541664,..,67.1237734,..,73.464416,73.464845,73.4881788,76.6170946,78.6236909,78.7578268,78.3271141,77.0248631,77.6343749,74.0268375,71.2165864,67.7996482,70.4394307,70.5314254,70.3276161,70.1533498,69.7424712,71.2579706,69.0242564,68.244642,66.425314,67.0424339,66.527046,..
Cyprus,CYP,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,71.7586231,..,74.0692959,..,77.1780825,..,76.6544916,75.13147,74.1125619,76.0957323,78.9701952,79.2436784,80.4053458,77.2889676,77.4363411,73.4518465,73.5048864,71.8278411,71.1254568,71.3469551,71.3282643,72.8891184,71.6307148,71.732418,69.8256976,70.238085,70.1175877,70.0296272,68.8261756,..
Czechia,CZE,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,64.161665,..,61.9771722,..,61.3065129,..,68.5480337,67.0653378,65.6983201,69.6618961,67.0031441,63.289033,66.7378013,67.7742279,65.2210394,65.761941,65.507341,64.8149452,68.8746252,69.4313931,70.9387577,71.3371618,71.2863312,70.2287496,72.4487589,72.7485643,74.5789641,75.3620856,74.2324658,..
